"Exported to CSV on Wednesday, September 6, 2023"

"Person ID External","Job Title","Company","Academic degree","Status","Start year","End year","employee_education_VFLD3","Area Of Studies","Area of emphasis","employee_education_VFLD5","Country of study","Institution","Title earned"
"2000005629","LIDER SR LEGAL NDU","GRUPO ARGOS S.A. (GRA-CO01)","BACHELOR'S","GRADUATED","2003","2008","2000005629","LAW AND PUBLIC SECTOR",,"2000005629","COLOMBIA",,"DERECHO"
"2000005638","SECRETARIA(O) PRESIDENCIA","CEMENTOS ARGOS S.A. (CEM-CO02)","ASSOCIATE'S","GRADUATED","1992","1996","2000005638","ADMINISTRATIVE AND ECONOMIC SCIENCES",,"2000005638","COLOMBIA",,"TECNOLOGIA EN ADMINISTRACION DE EMPRESAS AGRARIAS"
"2000005648","VAQUERO (A) MAYOR","FUNDACION GRUPO ARGOS (GRA-CO05)",,,,,"2000005648",,,"2000005648",,,
"2000005787","ESTABLERO (A)","FUNDACION GRUPO ARGOS (GRA-CO05)",,,,,"2000005787",,,"2000005787",,,
"2000005722","GERENCIA PROYECTO BARU","GRUPO ARGOS S.A. (GRA-CO01)","BACHELOR'S",,,,"2000005722",,,"2000005722","COLOMBIA",,"INGENIERIA CIVIL"
"2000005722","GERENCIA PROYECTO BARU","GRUPO ARGOS S.A. (GRA-CO01)","SPECIALIZATION (COL)",,,,"2000005722",,,"2000005722","COLOMBIA",,
"2000005722","GERENCIA PROYECTO BARU","GRUPO ARGOS S.A. (GRA-CO01)","MASTER'S",,,,"2000005722",,,"2000005722","UNITED STATES",,
"2000005724","OPERARIO FORESTAL","TEKIA S.A.S (GRA-CO04)",,,,,"2000005724",,,"2000005724",,,
"2000005729","VAQUERO(A)","FUNDACION GRUPO ARGOS (GRA-CO05)",,,,,"2000005729",,,"2000005729",,,
"2000005735","OPERARIO FORESTAL","TEKIA S.A.S (GRA-CO04)",,,,,"2000005735",,,"2000005735",,,
"2000005742","GERENCIA URBANISMO E INFRAESTRUCTURA","GRUPO ARGOS S.A. (GRA-CO01)","MASTER'S",,,,"2000005742",,,"2000005742","UNITED KINGDOM",,
"2000005742","GERENCIA URBANISMO E INFRAESTRUCTURA","GRUPO ARGOS S.A. (GRA-CO01)","BACHELOR'S",,,,"2000005742",,,"2000005742","COLOMBIA",,
"2000005742","GERENCIA URBANISMO E INFRAESTRUCTURA","GRUPO ARGOS S.A. (GRA-CO01)","SPECIALIZATION (COL)",,,,"2000005742",,,"2000005742","COLOMBIA",,
"2000005745","GERENCIA COMERCIAL","GRUPO ARGOS S.A. (GRA-CO01)","SPECIALIZATION (COL)",,,,"2000005745",,,"2000005745","COLOMBIA",,
"2000005745","GERENCIA COMERCIAL","GRUPO ARGOS S.A. (GRA-CO01)","BACHELOR'S",,,,"2000005745",,,"2000005745","COLOMBIA",,"INGENIERIA CIVIL"
